timestamp	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1744400059.376000	0.000011	-0.000002	0.000008	0.014527	0.016321	0.030379	0.028720	0.024262	0.018969	0.024773	0.033636	0.020442	0.016741	0.022087	0.018481	0.015250
1744400059.380000	0.000015	-0.000001	0.000010	0.014518	0.016323	0.030368	0.028722	0.024259	0.018971	0.024774	0.033641	0.020442	0.016738	0.022080	0.018478	0.015234
1744400059.384000	0.000016	-0.000004	0.000012	0.014520	0.016328	0.030380	0.028731	0.024269	0.018984	0.024781	0.033647	0.020441	0.016740	0.022085	0.018488	0.015237
1744400059.388000	0.000016	-0.000009	0.000009	0.014525	0.016327	0.030391	0.028727	0.024272	0.018986	0.024783	0.033644	0.020441	0.016742	0.022094	0.018492	0.015245
1744400059.392000	0.000011	-0.000008	0.000008	0.014526	0.016324	0.030394	0.028721	0.024268	0.018969	0.024778	0.033637	0.020437	0.016741	0.022098	0.018488	0.015252
1744400059.396000	0.000012	-0.000008	0.000014	0.014522	0.016325	0.030383	0.028723	0.024263	0.018974	0.024780	0.033639	0.020437	0.016742	0.022091	0.018483	0.015240
1744400059.400000	0.000010	-0.000005	0.000010	0.014514	0.016322	0.030371	0.028723	0.024257	0.018980	0.024781	0.033636	0.020434	0.016740	0.022080	0.018479	0.015224
1744400059.404000	0.000014	-0.000005	0.000011	0.014519	0.016327	0.030379	0.028729	0.024263	0.018987	0.024793	0.033633	0.020434	0.016740	0.022087	0.018484	0.015227
1744400059.408000	0.000007	-0.000002	0.000006	0.014527	0.016327	0.030394	0.028732	0.024272	0.018996	0.024791	0.033637	0.020434	0.016743	0.022099	0.018493	0.015234
1744400059.412000	0.000005	-0.000006	0.000007	0.014525	0.016327	0.030396	0.028732	0.024275	0.019004	0.024787	0.033643	0.020433	0.016743	0.022102	0.018497	0.015238
1744400059.416000	0.000009	-0.000010	0.000012	0.014519	0.016329	0.030384	0.028735	0.024272	0.019011	0.024790	0.033645	0.020438	0.016741	0.022095	0.018495	0.015240
1744400059.420000	0.000014	-0.000007	0.000021	0.014513	0.016337	0.030368	0.028733	0.024262	0.018975	0.024779	0.033646	0.020437	0.016740	0.022083	0.018485	0.015223
1744400059.424000	0.000015	-0.000006	0.000009	0.014517	0.016322	0.030378	0.028728	0.024268	0.018980	0.024784	0.033649	0.020443	0.016738	0.022085	0.018486	0.015232
1744400059.428000	0.000008	-0.000012	0.000008	0.014525	0.016320	0.030390	0.028724	0.024268	0.018986	0.024792	0.033644	0.020444	0.016741	0.022093	0.018487	0.015236
1744400059.432000	0.000006	-0.000013	0.000009	0.014530	0.016320	0.030397	0.028725	0.024272	0.018998	0.024804	0.033638	0.020447	0.016742	0.022098	0.018491	0.015249
1744400059.436000	0.000012	-0.000010	0.000012	0.014523	0.016322	0.030383	0.028729	0.024267	0.018999	0.024801	0.033644	0.020451	0.016739	0.022087	0.018486	0.015244
1744400059.440000	0.000016	-0.000009	0.000012	0.014514	0.016324	0.030365	0.028729	0.024256	0.018997	0.024780	0.033655	0.020446	0.016737	0.022074	0.018477	0.015232
1744400059.444000	0.000009	-0.000006	0.000008	0.014516	0.016320	0.030369	0.028725	0.024260	0.019000	0.024786	0.033646	0.020447	0.016738	0.022075	0.018477	0.015228
1744400059.448000	0.000010	-0.000001	0.000010	0.014521	0.016319	0.030380	0.028723	0.024260	0.019004	0.024782	0.033640	0.020444	0.016738	0.022085	0.018478	0.015237
1744400059.452000	0.000009	-0.000010	0.000016	0.014519	0.016322	0.030384	0.028719	0.024261	0.018992	0.024782	0.033634	0.020442	0.016739	0.022086	0.018480	0.015246
1744400059.456000	0.000010	-0.000003	0.000003	0.014518	0.016310	0.030378	0.028723	0.024266	0.019003	0.024795	0.033646	0.020447	0.016734	0.022081	0.018483	0.015237
1744400059.460000	0.000011	-0.000009	0.000010	0.014510	0.016322	0.030361	0.028731	0.024260	0.019007	0.024790	0.033650	0.020440	0.016735	0.022075	0.018481	0.015223
1744400059.464000	0.000011	-0.000011	0.000012	0.014512	0.016327	0.030365	0.028732	0.024260	0.019000	0.024788	0.033650	0.020439	0.016736	0.022082	0.018481	0.015229
1744400059.468000	0.000009	-0.000012	0.000009	0.014520	0.016325	0.030377	0.028730	0.024265	0.019002	0.024797	0.033645	0.020440	0.016739	0.022090	0.018485	0.015238
1744400059.472000	0.000009	-0.000011	0.000007	0.014522	0.016321	0.030383	0.028727	0.024264	0.019002	0.024787	0.033643	0.020442	0.016740	0.022094	0.018487	0.015244
1744400059.476000	0.000011	-0.000008	0.000013	0.014514	0.016320	0.030372	0.028726	0.024259	0.019006	0.024786	0.033645	0.020445	0.016739	0.022084	0.018479	0.015241
1744400059.480000	0.000015	-0.000005	0.000011	0.014505	0.016323	0.030355	0.028727	0.024249	0.019000	0.024784	0.033649	0.020439	0.016732	0.022070	0.018471	0.015231
1744400059.484000	0.000014	-0.000005	0.000014	0.014504	0.016323	0.030354	0.028722	0.024243	0.018990	0.024769	0.033640	0.020429	0.016733	0.022071	0.018467	0.015221
1744400059.488000	0.000005	-0.000009	0.000014	0.014507	0.016323	0.030367	0.028721	0.024247	0.018991	0.024769	0.033642	0.020426	0.016737	0.022082	0.018470	0.015232
1744400059.492000	0.000002	-0.000015	0.000006	0.014511	0.016312	0.030372	0.028717	0.024249	0.018990	0.024772	0.033641	0.020422	0.016735	0.022083	0.018470	0.015233
